"nombresenador","measuredate","measuretype","measurenumber","proyecto","reference","votetype","countofvotetype","measurestatus","proyecto1","mes","a_o","labelvotetype","countofvotes","nombre"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1425","Nombramiento 1425","Otros","Ausente","1","Derrotada","Nombramiento 1425","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-20T00:00:00.000","Nombramiento","1496","Nombramiento 1496","Otros","Ausente","1","Aprobada","Nombramiento 1496","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1429","Nombramiento 1429","Otros","Ausente","1","Aprobada","Nombramiento 1429","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1440","Nombramiento 1440","Otros","Ausente","1","Aprobada","Nombramiento 1440","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1441","Nombramiento 1441","Otros","Ausente","1","Aprobada","Nombramiento 1441","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1449","Nombramiento 1449","Otros","Ausente","1","Aprobada","Nombramiento 1449","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1450","Nombramiento 1450","Otros","Ausente","1","Aprobada","Nombramiento 1450","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1452","Nombramiento 1452","Otros","Ausente","1","Aprobada","Nombramiento 1452","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1462","Nombramiento 1462","Otros","Ausente","1","Aprobada","Nombramiento 1462","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1473","Nombramiento 1473","Otros","Ausente","1","Aprobada","Nombramiento 1473","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1483","Nombramiento 1483","Otros","Ausente","1","Aprobada","Nombramiento 1483","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1488","Nombramiento 1488","Otros","Ausente","1","Aprobada","Nombramiento 1488","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1490","Nombramiento 1490","Otros","Ausente","1","Aprobada","Nombramiento 1490","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1491","Nombramiento 1491","Otros","Ausente","1","Aprobada","Nombramiento 1491","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-19T00:00:00.000","Nombramiento","1492","Nombramiento 1492","Otros","Ausente","1","Aprobada","Nombramiento 1492","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
"Hon. Alejandro García Padilla","2012-12-18T00:00:00.000","R. del S.","2848","R. del S. 2848","Medida","Ausente","1","Aprobada","R. del S. 2848","12-diciembre","2012","Ausente","0","Hon. Alejandro García Padilla"
