"station_code","station_name","y","x","elevation","coord_x_y","active"
"RQC00668536","SABANA GRANDE 2 ENE","18.0889","-66.93","259.1","(18.0889, -66.93)","Yes"
"RQC00668535","SABANA GRANDE  ENE","18.0833","-66.9333","200.9","(18.0833, -66.9333)","No"
"RQC00668623","SABATER","17.9833","-66.2333","21","(17.9833, -66.2333)","No"
"RQC00668684","SALTILLO 2 ADJUNTAS","18.1333","-66.7333","868.7","(18.1333, -66.7333)","No"
"RQC00668745","SAN CRISTOBAL","18.2167","-65.7333","24.1","(18.2167, -65.7333)","No"
"RQC00668757","SAN GERMAN 4 W","18.0833","-67.1","27.1","(18.0833, -67.1)","No"
"RQ1PRSJ0001","SAN JUAN 1.5 W","18.4061","-66.0868","26.8","(18.4061, -66.0868)","Yes"
"RQ1PRSJ0003","SAN JUAN 3.1 ESE","18.3915","-66.02","33.2","(18.3915, -66.02)","Yes"
"RQW00011631","SAN JUAN CITY","18.4667","-66.1","6.1","(18.4667, -66.1)","No"
"RQW00011641","SAN JUAN L M MARIN AP","18.4325","-66.0108","2.7","(18.4325, -66.0108)","Yes"
"RQW00011618","SAN JUAN NS","18.4667","-66.1167","13.1","(18.4667, -66.1167)","No"
"RQC00668811","SAN JUAN WB AP","18.45","-66.1","18.9","(18.45, -66.1)","No"
"RQC00668815","SAN LORENZO 3S","18.1517","-65.9589","155.4","(18.1517, -65.9589)","Yes"
"RQC00668817","SAN LORENZO ESPINO","18.1","-66","387.1","(18.1, -66.0)","No"
"RQC00668822","SAN LORENZO FARM 2 NW","18.2","-65.9667","73.2","(18.2, -65.9667)","No"
"RQC00668881","SAN SEBASTIAN 2 WNW","18.3469","-67.0119","51.8","(18.3469, -67.0119)","No"
"RQC00668940","SANTA ISABEL 2 ENE","17.9692","-66.3772","9.1","(17.9692, -66.3772)","No"
"RQC00668955","SANTA RITA","18.0097","-66.8847","22.9","(18.0097, -66.8847)","Yes"
"RQC00669116","SIESTA ALEGRE","18.3578","-65.8283","137.2","(18.3578, -65.8283)","No"
"RQC00668634","ST JUST","18.3833","-66","29.9","(18.3833, -66.0)","No"
"RQC00669421","TOA BAJA 1 SSW","18.4333","-66.2667","7.9","(18.4333, -66.2667)","No"
"RQC00669415","TOA BAJA LEVITTOWN","18.4356","-66.1678","8.5","(18.4356, -66.1678)","Yes"
"RQC00669432","TORO NEGRO FOREST","18.1731","-66.4928","868.1","(18.1731, -66.4928)","Yes"
"RQC00669466","TORO NEGRO PLT 2","18.1667","-66.5167","685.8","(18.1667, -66.5167)","No"
"RQC00669521","TRUJILLO ALTO 2 SSW","18.3283","-66.0164","35.1","(18.3283, -66.0164)","Yes"
"RQC00669608","UTUADO","18.2617","-66.6864","158.5","(18.2617, -66.6864)","No"
"RQC00669763","VIEQUES ISLAND","18.1167","-65.4167","15.2","(18.1167, -65.4167)","No"
"RQC00669766","VIEQUES ISLAND #2","18.1333","-65.4333","6.7","(18.1333, -65.4333)","No"
"RQC00669774","VILLALBA 1 SE","18.1094","-66.5056","120.4","(18.1094, -66.5056)","No"
"RQC00668814","WFO SAN JUAN","18.4311","-65.9917","3","(18.4311, -65.9917)","Yes"
"RQC00669829","YABUCOA 1 NNE","18.0628","-65.8733","9.1","(18.0628, -65.8733)","No"
"RQC00669860","YAUCO 1 NW","18.0436","-66.8606","53.9","(18.0436, -66.8606)","No"
"RQC00669862","YAUCO 1 S","18.0167","-66.85","9.1","(18.0167, -66.85)","No"
"RQC00669884","YAUREL 3 NNE","17.9833","-66.0667","39","(17.9833, -66.0667)","No"
