"ps","pobl","pmb","area","compl","nro_edif","tiposecurb","urb","ste","nro","nro_apart","tipo_via","calle","sector","cod_post","pais","x","y","lat","lon","location"
"112353","CAROLINA","MARTIN GONZALEZ",,,,"URB","JOSE SEVERO QUINONES",,"Q-706",,"CALLE","2C",,"985","PR","250258","261101","18.3848","-65.9577","(18.3848, -65.9577)"
"112337","CAROLINA","MARTIN GONZALEZ",,,,"URB","JOSE SEVERO QUINONES",,"Q-709",,"CALLE","2C",,"985","PR","250266","261073","18.3845","-65.9577","(18.3845, -65.9577)"
"112302","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"107-1",,"AVE","CENTRAL BLVD",,"985","PR","249660","262890","18.401","-65.9633","(18.401, -65.9633)"
"112655","CAROLINA","SAN ANTON",,,,"URB","VILLAS DE SAN ANTON",,"J-20",,"CALLE","TIBURCIO BERTY",,"987","PR","247381","261436","18.3879","-65.9849","(18.3879, -65.9849)"
"112631","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"92-6",,"CALLE","89",,"985","PR","249706","263290","18.4046","-65.9629","(18.4046, -65.9629)"
"112613","CAROLINA","MARTIN GONZALEZ",,,,"URB","JOSE SEVERO QUINONES",,"Q-695",,"CALLE","2C",,"985","PR","250286","261086","18.3846","-65.9575","(18.3846, -65.9575)"
"112859","CAROLINA","SAN ANTON",,,,"URB","VILLAS DE SAN ANTON",,"K-2",,"CALLE","ERNESTO RODRIGUEZ",,"987","PR","247285","261470","18.3882","-65.9859","(18.3882, -65.9859)"
"112849","CAROLINA","PUEBLO",,,,"SECT"," ",,"101",,"CALLE","PEDRO ARZUAGA",,"985","PR","250419","260933","18.3833","-65.9562","(18.3833, -65.9562)"
"112833","CAROLINA","SAN ANTON",,,,"URB","VILLAS DE SAN ANTON",,"K-20",,"CALLE","ERNESTO RODRIGUEZ",,"987","PR","247340","261485","18.3883","-65.9853","(18.3883, -65.9853)"
"112819","CAROLINA","PUEBLO",,,,"SECT"," ",,"106",,"CALLE","ANDRES ARUZ",,"985","PR","250446","260972","18.3836","-65.956","(18.3836, -65.956)"
"109576","CAROLINA","CANOVANILLAS",,,,"URB","PARQ ECUESTRE",,"D-26",,"CALLE","CANARIO",,"987","PR","253468","259537","18.3706","-65.9274","(18.3706, -65.9274)"
